,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
633,0,1,0,1.0,0,0,0.0,0
634,0,3,1,0.0,3,2,2.0,0
635,1,2,1,1.0,0,0,1.0,0
636,0,3,0,1.0,0,0,0.0,0
637,0,2,0,1.0,1,1,2.0,0
638,0,3,1,2.0,0,5,3.0,0
639,0,3,0,1.0,1,0,1.0,0
640,0,3,0,1.0,0,0,0.0,0
641,1,1,1,1.0,0,0,3.0,2
642,0,3,1,0.0,3,2,2.0,0
643,1,3,0,1.0,0,0,3.0,0
644,1,3,1,0.0,2,1,1.0,2
645,1,1,0,2.0,1,0,3.0,2
646,0,3,0,1.0,0,0,0.0,0
647,1,1,0,3.0,0,0,3.0,2
648,0,3,0,1.0,0,0,0.0,0
649,1,3,1,1.0,0,0,0.0,0
650,0,3,0,1.0,0,0,0.0,0
651,1,2,1,1.0,0,1,2.0,0
652,0,3,0,1.0,0,0,0.0,0
653,1,3,1,1.0,0,0,0.0,1
654,0,3,1,1.0,0,0,0.0,1
655,0,2,0,1.0,2,0,3.0,0
656,0,3,0,1.0,0,0,0.0,0
657,0,3,1,1.0,1,1,1.0,1
658,0,2,0,1.0,0,0,1.0,0
659,0,1,0,3.0,0,2,4.0,2
660,1,1,0,3.0,2,0,4.0,0
661,0,3,0,2.0,0,0,0.0,2
662,0,1,0,2.0,0,0,2.0,0
663,0,3,0,2.0,0,0,0.0,0
664,1,3,0,1.0,1,0,0.0,0
665,0,2,0,1.0,2,0,3.0,0
666,0,2,0,1.0,0,0,1.0,0
667,0,3,0,1.0,0,0,0.0,0
668,0,3,0,2.0,0,0,0.0,0
669,1,1,1,1.0,1,0,3.0,0
670,1,2,1,2.0,1,1,3.0,0
671,0,1,0,1.0,1,0,3.0,0
672,0,2,0,4.0,0,0,1.0,0
673,1,2,0,1.0,0,0,1.0,0
674,0,2,0,1.0,0,0,0.0,0
675,0,3,0,1.0,0,0,0.0,0
676,0,3,0,1.0,0,0,0.0,0
677,1,3,1,1.0,0,0,0.0,0
678,0,3,1,2.0,1,6,3.0,0
679,1,1,0,2.0,0,1,4.0,2
680,0,3,1,1.0,0,0,0.0,1
681,1,1,0,1.0,0,0,3.0,2
682,0,3,0,1.0,0,0,0.0,0
683,0,3,0,0.0,5,2,3.0,0
684,0,2,0,3.0,1,1,3.0,0
685,0,2,0,1.0,1,2,3.0,2
686,0,3,0,0.0,4,1,3.0,0
687,0,3,0,1.0,0,0,1.0,0
688,0,3,0,1.0,0,0,0.0,0
689,1,1,1,0.0,0,1,4.0,0
690,1,1,0,1.0,1,0,3.0,0
691,1,3,1,0.0,0,1,1.0,2
692,1,3,0,1.0,0,0,3.0,0
693,0,3,0,1.0,0,0,0.0,2
694,0,1,0,3.0,0,0,2.0,0
695,0,2,0,3.0,0,0,1.0,0
696,0,3,0,2.0,0,0,0.0,0
697,1,3,1,1.0,0,0,0.0,1
698,0,1,0,3.0,1,1,4.0,2
699,0,3,0,2.0,0,0,0.0,0
700,1,1,1,1.0,1,0,4.0,2
701,1,1,0,2.0,0,0,2.0,0
702,0,3,1,1.0,0,1,1.0,2
703,0,3,0,1.0,0,0,0.0,1
704,0,3,0,1.0,1,0,0.0,0
705,0,2,0,2.0,0,0,2.0,0
706,1,2,1,2.0,0,0,1.0,0
707,1,1,0,2.0,0,0,2.0,0
708,1,1,1,1.0,0,0,4.0,0
709,1,3,0,1.0,1,1,1.0,2
710,1,1,1,1.0,0,0,3.0,2
711,0,1,0,1.0,0,0,2.0,0
712,1,1,0,2.0,1,0,3.0,0
713,0,3,0,1.0,0,0,0.0,0
714,0,2,0,3.0,0,0,1.0,0
715,0,3,0,1.0,0,0,0.0,0
716,1,1,1,2.0,0,0,4.0,2
717,1,2,1,1.0,0,0,1.0,0
718,0,3,0,1.0,0,0,1.0,1
719,0,3,0,2.0,0,0,0.0,0
720,1,2,1,0.0,0,1,3.0,0
721,0,3,0,1.0,1,0,0.0,0
722,0,2,0,2.0,0,0,1.0,0
723,0,2,0,3.0,0,0,1.0,0
724,1,1,0,1.0,1,0,3.0,0
725,0,3,0,1.0,0,0,0.0,0
726,1,2,1,1.0,3,0,2.0,0
727,1,3,1,1.0,0,0,0.0,1
728,0,2,0,1.0,1,0,2.0,0
729,0,3,1,1.0,1,0,0.0,0
730,1,1,1,1.0,0,0,4.0,0
731,0,3,0,0.0,0,0,1.0,2
732,0,2,0,1.0,0,0,0.0,0
733,0,2,0,1.0,0,0,1.0,0
734,0,2,0,1.0,0,0,1.0,0
735,0,3,0,1.0,0,0,1.0,0
736,0,3,1,2.0,1,3,3.0,0
737,1,1,0,2.0,0,0,4.0,2
738,0,3,0,1.0,0,0,0.0,0
739,0,3,0,1.0,0,0,0.0,0
740,1,1,0,1.0,0,0,2.0,0
741,0,1,0,2.0,1,0,3.0,0
742,1,1,1,1.0,2,2,4.0,2
743,0,3,0,1.0,1,0,1.0,0
744,1,3,0,1.0,0,0,0.0,0
745,0,1,0,4.0,1,1,3.0,0
746,0,3,0,0.0,1,1,2.0,0
747,1,2,1,1.0,0,0,1.0,0
748,0,1,0,1.0,1,0,3.0,0
749,0,3,0,1.0,0,0,0.0,1
750,1,2,1,0.0,1,1,2.0,0
751,1,3,0,0.0,0,1,1.0,0
752,0,3,0,2.0,0,0,0.0,0
753,0,3,0,1.0,0,0,0.0,0
754,1,2,1,2.0,1,2,3.0,0
755,1,2,0,0.0,1,1,1.0,0
756,0,3,0,1.0,0,0,0.0,0
757,0,2,0,1.0,0,0,1.0,0
758,0,3,0,2.0,0,0,0.0,0
759,1,1,1,2.0,0,0,3.0,0
760,0,3,0,1.0,0,0,1.0,0
761,0,3,0,2.0,0,0,0.0,0
762,1,3,0,1.0,0,0,0.0,2
763,1,1,1,2.0,1,2,4.0,0
764,0,3,0,0.0,0,0,0.0,0
765,1,1,1,3.0,1,0,3.0,0
766,0,1,0,1.0,0,0,3.0,2
767,0,3,1,1.0,0,0,0.0,1
768,0,3,0,1.0,1,0,2.0,1
769,0,3,0,1.0,0,0,0.0,0
770,0,3,0,1.0,0,0,0.0,0
771,0,3,0,2.0,0,0,0.0,0
772,0,2,1,3.0,0,0,1.0,0
773,0,3,0,1.0,0,0,0.0,2
774,1,2,1,3.0,1,3,2.0,0
775,0,3,0,1.0,0,0,0.0,0
776,0,3,0,1.0,0,0,0.0,1
777,1,3,1,0.0,0,0,1.0,0
778,0,3,0,1.0,0,0,0.0,1
779,1,1,1,2.0,0,1,4.0,0
780,1,3,1,0.0,0,0,0.0,2
781,1,1,1,1.0,1,0,3.0,0
782,0,1,0,1.0,0,0,2.0,0
783,0,3,0,1.0,1,2,2.0,0
784,0,3,0,1.0,0,0,0.0,0
785,0,3,0,1.0,0,0,0.0,0
786,1,3,1,1.0,0,0,0.0,0
787,0,3,0,0.0,4,1,2.0,1
788,1,3,0,0.0,1,2,2.0,0
789,0,1,0,2.0,0,0,3.0,2
790,0,3,0,1.0,0,0,0.0,1
791,0,2,0,0.0,0,0,2.0,0
792,0,3,1,1.0,8,2,3.0,0
793,0,1,0,1.0,0,0,3.0,2
794,0,3,0,1.0,0,0,0.0,0
795,0,2,0,2.0,0,0,1.0,0
796,1,1,1,3.0,0,0,2.0,0
797,1,3,1,1.0,0,0,0.0,0
798,0,3,0,1.0,0,0,0.0,2
799,0,3,1,1.0,1,1,2.0,0
800,0,2,0,2.0,0,0,1.0,0
801,1,2,1,1.0,1,1,2.0,0
802,1,1,0,0.0,1,2,4.0,0
803,1,3,0,0.0,0,1,0.0,2
804,1,3,0,1.0,0,0,0.0,0
805,0,3,0,1.0,0,0,0.0,0
806,0,1,0,2.0,0,0,0.0,0
807,0,3,1,1.0,0,0,0.0,0
808,0,2,0,2.0,0,0,1.0,0
809,1,1,1,2.0,1,0,3.0,0
810,0,3,0,1.0,0,0,0.0,0
811,0,3,0,2.0,0,0,2.0,0
812,0,2,0,2.0,0,0,1.0,0
813,0,3,1,0.0,4,2,3.0,0
814,0,3,0,1.0,0,0,0.0,0
815,0,1,0,1.0,0,0,0.0,0
816,0,3,1,1.0,0,0,0.0,0
817,0,2,0,1.0,1,1,3.0,2
818,0,3,0,2.0,0,0,0.0,0
819,0,3,0,0.0,3,2,2.0,0
820,1,1,1,3.0,1,1,3.0,0
821,1,3,0,1.0,0,0,0.0,0
822,0,1,0,2.0,0,0,0.0,0
823,1,3,1,1.0,0,1,1.0,0
824,0,3,0,0.0,4,1,3.0,0
825,0,3,0,1.0,0,0,0.0,1
826,0,3,0,1.0,0,0,3.0,0
827,1,2,0,0.0,0,2,3.0,2
828,1,3,0,1.0,0,0,0.0,1
829,1,1,1,3.0,0,0,3.0,0
830,1,3,1,0.0,1,0,1.0,2
831,1,2,0,0.0,1,1,1.0,0
832,0,3,0,1.0,0,0,0.0,2
833,0,3,0,1.0,0,0,0.0,0
834,0,3,0,1.0,0,0,0.0,0
835,1,1,1,2.0,1,1,3.0,2
836,0,3,0,1.0,0,0,0.0,0
837,0,3,0,1.0,0,0,0.0,0
838,1,3,0,1.0,0,0,3.0,0
839,1,1,0,1.0,0,0,2.0,2
840,0,3,0,1.0,0,0,0.0,0
841,0,2,0,0.0,0,0,1.0,0
842,1,1,1,1.0,0,0,3.0,2
843,0,3,0,2.0,0,0,0.0,2
844,0,3,0,1.0,0,0,0.0,0
845,0,3,0,2.0,0,0,0.0,0
846,0,3,0,1.0,8,2,3.0,0
847,0,3,0,2.0,0,0,0.0,2
848,0,2,0,1.0,0,1,3.0,0
849,1,1,1,1.0,1,0,3.0,2
850,0,3,0,0.0,4,2,3.0,0
851,0,3,0,4.0,0,0,0.0,0
852,0,3,1,0.0,1,1,1.0,2
853,1,1,1,0.0,0,1,3.0,0
854,0,2,1,2.0,1,0,2.0,0
855,1,3,1,1.0,0,1,0.0,0
856,1,1,1,2.0,1,1,4.0,0
857,1,1,0,3.0,0,0,2.0,0
858,1,3,1,1.0,0,3,1.0,2
859,0,3,0,1.0,0,0,0.0,2
860,0,3,0,2.0,2,0,1.0,0
861,0,2,0,1.0,1,0,1.0,0
862,1,1,1,2.0,0,0,2.0,0
863,0,3,1,1.0,8,2,3.0,0
864,0,2,0,1.0,0,0,1.0,0
865,1,2,1,2.0,0,0,1.0,0
866,1,2,1,1.0,1,0,1.0,2
867,0,1,0,1.0,0,0,3.0,0
868,0,3,0,1.0,0,0,0.0,0
869,1,3,0,0.0,1,1,1.0,0
870,0,3,0,1.0,0,0,0.0,0
871,1,1,1,2.0,1,1,3.0,0
872,0,1,0,2.0,0,0,0.0,0
873,0,3,0,2.0,0,0,0.0,0
874,1,2,1,1.0,1,0,2.0,2
875,1,3,1,0.0,0,0,0.0,2
876,0,3,0,1.0,0,0,0.0,0
877,0,3,0,1.0,0,0,0.0,0
878,0,3,0,1.0,0,0,0.0,0
879,1,1,1,3.0,0,1,3.0,2
880,1,2,1,1.0,0,1,2.0,0
881,0,3,0,2.0,0,0,0.0,0
882,0,3,1,1.0,0,0,1.0,0
883,0,2,0,1.0,0,0,1.0,0
884,0,3,0,1.0,0,0,0.0,0
885,0,3,1,2.0,0,5,2.0,1
886,0,2,0,1.0,0,0,1.0,0
887,1,1,1,1.0,0,0,2.0,0
888,0,3,1,1.0,1,2,2.0,0
889,1,1,0,1.0,0,0,2.0,2
890,0,3,0,1.0,0,0,0.0,1
